Scenario - EJ_RSBC_5go1st_cond(50)tra(75%)												
Logfile written - 04/15/2021 18:46:22												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
210415_RL#219_15g	55	Response	1	712708	9644	3						
210415_RL#219_15g	55	Port Input	1	714056	10993	4						
210415_RL#219_15g	55	Response	1	714056	10993	4						
210415_RL#219_15g	55	Port Input	1	715453	12389	3						
210415_RL#219_15g	55	Response	1	715453	12389	3						
210415_RL#219_15g	55	Port Input	1	716884	13820	5						
210415_RL#219_15g	55	Response	1	716884	13820	5						
210415_RL#219_15g	55	Port Input	1	718200	15136	3						
210415_RL#219_15g	55	Response	1	718200	15136	3						
210415_RL#219_15g	55	Port Input	1	719554	16490	4						
210415_RL#219_15g	55	Response	1	719554	16490	4						
210415_RL#219_15g	55	Port Input	1	720886	17822	4						
210415_RL#219_15g	55	Response	1	720886	17822	4						
210415_RL#219_15g	55	Port Input	1	720890	17826	3						
210415_RL#219_15g	55	Response	1	720890	17826	3						
210415_RL#219_15g	55	Port Input	1	722206	19142	4						
210415_RL#219_15g	55	Response	1	722206	19142	4						
210415_RL#219_15g	55	Port Input	1	722210	19146	4						
210415_RL#219_15g	55	Response	1	722210	19146	4						
210415_RL#219_15g	56	Picture	3511	723190	0	2	400	3	0	next	other	0
210415_RL#219_15g	56	Port Input	1	723531	341	4						
210415_RL#219_15g	56	Response	1	723531	341	4						
210415_RL#219_15g	56	Port Input	1	723534	345	5						
210415_RL#219_15g	56	Response	1	723534	345	5						
210415_RL#219_15g	57	Picture	666	723590	0	2	20126	3	0	next	false_alarm	348
210415_RL#219_15g	57	Port Input	1	724956	1366	3						
210415_RL#219_15g	57	Response	1	724956	1366	3						
210415_RL#219_15g	57	Port Input	1	724960	1370	3						
210415_RL#219_15g	57	Response	1	724960	1370	3						
210415_RL#219_15g	58	Picture	777	743715	0	2	20125	4	0	next	other	0
210415_RL#219_15g	58	Manual	1	763734	20019	NA						
210415_RL#219_15g	59	Sound	212	763844	4	2			0		other	0
210415_RL#219_15g	60	Picture	555	768906	0	2	10128	4	0	next	other	0
210415_RL#219_15g	61	Picture	10	779034	0	3	20126	4	0	next	miss	0
210415_RL#219_15g	62	Picture	411	799161	0	2	533	5	0	next	other	0
210415_RL#219_15g	63	Picture	666	799694	0	3	20126	5	0	next	other	0
210415_RL#219_15g	64	Picture	777	819820	0	2	20126	4	0	next	other	0
210415_RL#219_15g	64	Manual	2	839830	20011	NA						
210415_RL#219_15g	65	Sound	211	839949	4	2			0		other	0
210415_RL#219_15g	65	Port Input	1	841930	1985	3						
210415_RL#219_15g	65	Response	1	841930	1985	3						
210415_RL#219_15g	65	Port Input	1	843562	3617	3						
210415_RL#219_15g	65	Response	1	843562	3617	3						
210415_RL#219_15g	65	Port Input	1	844924	4979	4						
210415_RL#219_15g	65	Response	1	844924	4979	4						
210415_RL#219_15g	65	Port Input	1	844928	4982	3						
210415_RL#219_15g	65	Response	1	844928	4982	3						
210415_RL#219_15g	66	Picture	555	845010	0	2	10129	4	0	next	false_alarm	371
210415_RL#219_15g	66	Port Input	1	846474	1464	4						
210415_RL#219_15g	66	Response	1	846474	1464	4						
210415_RL#219_15g	66	Port Input	1	848192	3182	3						
210415_RL#219_15g	66	Response	1	848192	3182	3						
210415_RL#219_15g	66	Port Input	1	849888	4878	3						
210415_RL#219_15g	66	Response	1	849888	4878	3						
210415_RL#219_15g	66	Port Input	1	851606	6596	3						
210415_RL#219_15g	66	Response	1	851606	6596	3						
210415_RL#219_15g	66	Port Input	1	853142	8132	3						
210415_RL#219_15g	66	Response	1	853142	8132	3						
210415_RL#219_15g	66	Port Input	1	853146	8136	3						
210415_RL#219_15g	66	Response	1	853146	8136	3						
210415_RL#219_15g	66	Port Input	1	854591	9581	3						
210415_RL#219_15g	66	Response	1	854591	9581	3						
210415_RL#219_15g	67	Picture	10	855139	0	2	1067	4	0	next	hit	386
210415_RL#219_15g	67	Port Input	1	856069	930	3						
210415_RL#219_15g	67	Response	1	856069	930	3						
210415_RL#219_15g	67	Port Input	1	856074	935	7						
210415_RL#219_15g	67	Response	1	856074	935	7						
210415_RL#219_15g	68	Picture	351	856206	0	2	266	4	0	next	other	0
210415_RL#219_15g	69	Picture	1	856472	0	2	20125	4	0	next	false_alarm	392
210415_RL#219_15g	69	Port Input	1	857383	911	4						
210415_RL#219_15g	69	Response	1	857383	911	4						
210415_RL#219_15g	69	Port Input	1	858474	2002	4						
210415_RL#219_15g	69	Response	1	858474	2002	4						
210415_RL#219_15g	69	Port Input	1	859558	3086	3						
210415_RL#219_15g	69	Response	1	859558	3086	3						
210415_RL#219_15g	69	Port Input	1	860731	4259	3						
210415_RL#219_15g	69	Response	1	860731	4259	3						
210415_RL#219_15g	69	Port Input	1	860734	4262	4						
210415_RL#219_15g	69	Response	1	860734	4262	4						
210415_RL#219_15g	69	Port Input	1	861984	5512	3						
210415_RL#219_15g	69	Response	1	861984	5512	3						
210415_RL#219_15g	69	Port Input	1	863334	6862	4						
210415_RL#219_15g	69	Response	1	863334	6862	4						
210415_RL#219_15g	69	Port Input	1	864674	8202	4						
210415_RL#219_15g	69	Response	1	864674	8202	4						
210415_RL#219_15g	69	Port Input	1	864679	8207	3						
210415_RL#219_15g	69	Response	1	864679	8207	3						
210415_RL#219_15g	69	Port Input	1	865926	9454	3						
210415_RL#219_15g	69	Response	1	865926	9454	3						
210415_RL#219_15g	69	Port Input	1	865929	9457	3						
210415_RL#219_15g	69	Response	1	865929	9457	3						
210415_RL#219_15g	69	Port Input	1	867278	10806	3						
210415_RL#219_15g	69	Response	1	867278	10806	3						
210415_RL#219_15g	69	Port Input	1	867282	10810	3						
210415_RL#219_15g	69	Response	1	867282	10810	3						
210415_RL#219_15g	69	Port Input	1	868594	12122	4						
210415_RL#219_15g	69	Response	1	868594	12122	4						
210415_RL#219_15g	69	Port Input	1	868599	12127	3						
210415_RL#219_15g	69	Response	1	868599	12127	3						
210415_RL#219_15g	69	Port Input	1	869910	13438	3						
210415_RL#219_15g	69	Response	1	869910	13438	3						
210415_RL#219_15g	69	Port Input	1	871286	14814	3						
210415_RL#219_15g	69	Response	1	871286	14814	3						
210415_RL#219_15g	69	Port Input	1	871290	14818	3						
210415_RL#219_15g	69	Response	1	871290	14818	3						
210415_RL#219_15g	69	Port Input	1	872609	16137	3						
210415_RL#219_15g	69	Response	1	872609	16137	3						
210415_RL#219_15g	69	Port Input	1	873999	17527	3						
210415_RL#219_15g	69	Response	1	873999	17527	3						
210415_RL#219_15g	69	Port Input	1	875329	18857	3						
210415_RL#219_15g	69	Response	1	875329	18857	3						
210415_RL#219_15g	69	Port Input	1	875332	18860	3						
210415_RL#219_15g	69	Response	1	875332	18860	3						
210415_RL#219_15g	70	Picture	3511	876597	0	3	400	4	0	next	other	0
210415_RL#219_15g	71	Picture	666	876997	0	2	20126	4	0	next	other	0
210415_RL#219_15g	72	Picture	777	897123	0	2	20126	4	0	next	other	0
210415_RL#219_15g	72	Manual	1	917134	20011	NA						
